wine_name,avg_rat,count_sum,rating_per_price
Biondi-Santi Brunello di Montalcino Riserva 1955,4.9,35,0.25
Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2001,4.9,32,1.23
Pétrus Pomerol 1990,4.8,1190,0.08
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,4.8,1004,0.17
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,4.8,1000,0.25
Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 2003,4.8,920,0.28
Masseto Toscana 2006,4.8,797,0.1
Château d'Yquem Sauternes 2015,4.8,763,0.59
Masseto Toscana 2005,4.8,762,0.1
Masseto Toscana 2001,4.8,651,0.09
