country_name,total_wines,average_wine_rating,total_ratings,users_count,wines_count
Allemagne,14,4.5,8257,2549989,164533
Israël,1,4.5,894,150549,5435
États-Unis,74,4.4905405405405405,834263,12273684,204060
Moldavie,5,4.4799999999999995,14114,13583,5055
Hongrie,11,4.472727272727273,30564,102235,16605
Afrique du Sud,22,4.45909090909091,59995,269649,30857
Australie,12,4.458333333333333,52138,1022965,90954
France,331,4.447129909365559,2124809,5973301,422503
Espagne,94,4.443617021276595,746710,2264396,102662
Portugal,28,4.435714285714286,62454,1123535,39847
