grape,wine,region,country,rating
Cabernet Sauvignon,Cabernet Sauvignon,Rutherford,États-Unis,4.8
Cabernet Sauvignon,Special Selection Cabernet Sauvignon,Napa Valley,États-Unis,4.7
Cabernet Sauvignon,Cabernet Sauvignon,Napa Valley,États-Unis,4.6
Cabernet Sauvignon,Cabernet Sauvignon (Signature),Napa Valley,États-Unis,4.6
Cabernet Sauvignon,CASK 23 Cabernet Sauvignon,Napa Valley,États-Unis,4.6
Merlot,Merlot,Walla Walla Valley,États-Unis,4.4
Merlot,Calle Merlot Rosso Veronese,Rosso Veronese,Italie,4.4
Merlot,110 e Lode Merlot,Veneto,Italie,4.4
Merlot,Merlot (Signature),Napa Valley,États-Unis,4.3
Chardonnay,Chloe Chardonnay,Russian River Valley,États-Unis,4.5
Chardonnay,Reserve Chardonnay,Greyton,Afrique du Sud,4.5
Chardonnay,Bentrock Vineyard Chardonnay,Sta. Rita Hills,États-Unis,4.5
Chardonnay,One Sixteen Chardonnay,Russian River Valley,États-Unis,4.4
Chardonnay,Chardonnay,Western Cape,Afrique du Sud,4.4
