country_code,country_name,average_rating,ratings_count
de,Allemagne,4.5,3047
il,Israël,4.5,894
us,États-Unis,4.4905405405405405,18694
md,Moldavie,4.4799999999999995,7604
hu,Hongrie,4.472727272727273,2366
za,Afrique du Sud,4.45909090909091,1638
au,Australie,4.458333333333333,17326
fr,France,4.447129909365559,442
es,Espagne,4.443617021276595,4642
pt,Portugal,4.435714285714286,14197
cl,Chili,4.43125,48075
it,Italie,4.430026109660575,773
ar,Argentine,4.417391304347826,28227
gr,Grèce,4.4,313
ro,Roumanie,4.4,166
ch,Suisse,4.35,164
hr,Croatie,4.3,292
