MatchID,Div,Date,Time,HomeTeamID,AwayTeamID,FTHG,FTAG,FTR,HTHG,HTAG,HTR
1,B1,08/08/2020,15:30,1,12,0.0,1.0,A,0.0,0.0,D
2,B1,08/08/2020,18:00,2,10,1.0,1.0,D,0.0,0.0,D
3,B1,08/08/2020,18:00,3,14,1.0,0.0,H,0.0,0.0,D
4,B1,09/08/2020,12:30,4,13,2.0,1.0,H,1.0,1.0,D
5,B1,09/08/2020,15:00,5,11,1.0,2.0,A,1.0,0.0,H
6,B1,09/08/2020,17:15,6,17,2.0,2.0,D,0.0,0.0,D
7,B1,09/08/2020,19:45,7,18,1.0,3.0,A,0.0,1.0,A
8,B1,10/08/2020,18:00,8,16,1.0,1.0,D,0.0,0.0,D
9,B1,10/08/2020,18:00,9,15,1.0,2.0,A,0.0,1.0,A
10,B1,14/08/2020,18:00,10,6,0.0,1.0,A,0.0,1.0,A
11,B1,15/08/2020,15:30,11,8,1.0,1.0,D,0.0,0.0,D
12,B1,15/08/2020,18:00,12,9,1.0,0.0,H,0.0,0.0,D
13,B1,15/08/2020,18:00,13,7,1.0,2.0,A,0.0,1.0,A
14,B1,16/08/2020,12:30,14,2,2.0,1.0,H,0.0,1.0,A
15,B1,16/08/2020,15:00,15,5,3.0,1.0,H,1.0,0.0,H
16,B1,16/08/2020,15:00,16,1,0.0,4.0,A,0.0,1.0,A
17,B1,16/08/2020,17:15,17,4,3.0,1.0,H,1.0,0.0,H
18,B1,17/08/2020,18:00,18,3,1.0,2.0,A,0.0,0.0,D
19,B1,21/08/2020,18:00,7,16,0.0,0.0,D,0.0,0.0,D
20,B1,22/08/2020,15:15,5,18,4.0,1.0,H,1.0,0.0,H
21,B1,22/08/2020,17:30,6,14,2.0,3.0,A,1.0,0.0,H
22,B1,22/08/2020,17:30,8,12,1.0,3.0,A,1.0,1.0,D
23,B1,22/08/2020,19:45,2,13,1.0,0.0,H,1.0,0.0,H
24,B1,23/08/2020,12:30,3,11,0.0,0.0,D,0.0,0.0,D
25,B1,23/08/2020,15:00,1,15,0.0,1.0,A,0.0,1.0,A
26,B1,23/08/2020,17:15,17,10,1.0,1.0,D,0.0,0.0,D
27,B1,24/08/2020,19:45,4,9,0.0,0.0,D,0.0,0.0,D
28,B1,28/08/2020,19:45,9,17,2.0,2.0,D,2.0,1.0,H
29,B1,29/08/2020,15:15,16,4,1.0,1.0,D,1.0,0.0,H
30,B1,29/08/2020,17:30,14,7,0.0,1.0,A,0.0,0.0,D
31,B1,29/08/2020,17:30,18,8,1.0,3.0,A,0.0,1.0,A
32,B1,29/08/2020,19:45,10,5,0.0,1.0,A,0.0,0.0,D
33,B1,30/08/2020,12:30,11,1,1.0,2.0,A,0.0,1.0,A
34,B1,30/08/2020,15:00,15,3,0.0,3.0,A,0.0,1.0,A
35,B1,30/08/2020,17:15,12,2,2.0,0.0,H,1.0,0.0,H
36,B1,30/08/2020,19:45,13,6,1.0,0.0,H,1.0,0.0,H
37,B1,11/09/2020,19:45,16,13,2.0,1.0,H,1.0,0.0,H
38,B1,12/09/2020,15:15,6,9,0.0,1.0,A,0.0,0.0,D
39,B1,12/09/2020,17:30,8,3,1.0,0.0,H,0.0,0.0,D
40,B1,12/09/2020,19:45,1,18,4.0,1.0,H,2.0,1.0,H
41,B1,13/09/2020,12:30,17,14,2.0,0.0,H,1.0,0.0,H
